country,year,workforce_type,workforce_size,population
Austria,2005,pers: Female: Sole holders working on the farm,54250,8569633
Austria,2005,AWU: Sole holders,92460,8569633
Austria,2005,pers: Male: Sole holders working on the farm,110800,8569633
Austria,2005,pers: Sole holders working on the farm,165050,8569633
Austria,2005,pers: Family labour force,413020,8569633
Belgium,2005,pers: Female: Sole holders working on the farm,7070,11371928
Belgium,2005,AWU: Sole holders,37610,11371928
Belgium,2005,pers: Male: Sole holders working on the farm,40880,11371928
Belgium,2005,pers: Sole holders working on the farm,47960,11371928
Belgium,2005,pers: Family labour force,81100,11371928
Bulgaria,2005,pers: Female: Sole holders working on the farm,92810,7097796
Bulgaria,2005,AWU: Sole holders,308720,7097796
Bulgaria,2005,pers: Male: Sole holders working on the farm,436500,7097796
Bulgaria,2005,pers: Sole holders working on the farm,529320,7097796
Bulgaria,2005,pers: Family labour force,1018390,7097796
Croatia,2005,pers: Sole holders working on the farm,,4225001
Croatia,2005,pers: Female: Sole holders working on the farm,,4225001
Croatia,2005,pers: Male: Sole holders working on the farm,,4225001
Croatia,2005,pers: Family labour force,,4225001
Croatia,2005,AWU: Sole holders,,4225001
Cyprus,2005,pers: Female: Sole holders working on the farm,11190,1176598
Cyprus,2005,AWU: Sole holders,13420,1176598
Cyprus,2005,pers: Male: Sole holders working on the farm,33540,1176598
Cyprus,2005,pers: Sole holders working on the farm,44740,1176598
Cyprus,2005,pers: Family labour force,78400,1176598
Czech Republic,2005,pers: Female: Sole holders working on the farm,7020,10548058
Czech Republic,2005,AWU: Sole holders,24850,10548058
Czech Republic,2005,pers: Male: Sole holders working on the farm,32400,10548058
Czech Republic,2005,pers: Sole holders working on the farm,39420,10548058
Czech Republic,2005,pers: Family labour force,67190,10548058
Denmark,2005,pers: Female: Sole holders working on the farm,5750,5690750
Denmark,2005,AWU: Sole holders,29030,5690750
Denmark,2005,pers: Male: Sole holders working on the farm,44920,5690750
Denmark,2005,pers: Sole holders working on the farm,50680,5690750
Denmark,2005,pers: Family labour force,73120,5690750
Estonia,2005,pers: Female: Sole holders working on the farm,10090,1309104
Estonia,2005,AWU: Sole holders,11620,1309104
Estonia,2005,pers: Male: Sole holders working on the farm,16390,1309104
Estonia,2005,pers: Sole holders working on the farm,26480,1309104
Estonia,2005,pers: Family labour force,66390,1309104
Finland,2005,pers: Female: Sole holders working on the farm,7260,5523904
Finland,2005,AWU: Sole holders,42680,5523904
Finland,2005,pers: Male: Sole holders working on the farm,62240,5523904
Finland,2005,pers: Sole holders working on the farm,69500,5523904
Finland,2005,pers: Family labour force,140020,5523904
France,2005,pers: Female: Sole holders working on the farm,106480,64668129
France,2005,AWU: Sole holders,316580,64668129
France,2005,pers: Male: Sole holders working on the farm,367460,64668129
France,2005,pers: Sole holders working on the farm,473940,64668129
France,2005,pers: Family labour force,716070,64668129
Germany,2005,pers: Female: Sole holders working on the farm,34670,80682351
Germany,2005,AWU: Sole holders,260350,80682351
Germany,2005,pers: Male: Sole holders working on the farm,350310,80682351
Germany,2005,pers: Sole holders working on the farm,384980,80682351
Germany,2005,pers: Family labour force,801350,80682351
Greece,2005,pers: Female: Sole holders working on the farm,250100,10919459
Greece,2005,AWU: Sole holders,304580,10919459
Greece,2005,pers: Male: Sole holders working on the farm,582980,10919459
Greece,2005,pers: Sole holders working on the farm,833080,10919459
Greece,2005,pers: Family labour force,1501840,10919459
Hungary,2005,pers: Female: Sole holders working on the farm,166880,9821318
Hungary,2005,AWU: Sole holders,229350,9821318
Hungary,2005,pers: Male: Sole holders working on the farm,539830,9821318
Hungary,2005,pers: Sole holders working on the farm,706710,9821318
Hungary,2005,pers: Family labour force,1325150,9821318
Ireland,2005,pers: Female: Sole holders working on the farm,12540,4713993
Ireland,2005,AWU: Sole holders,98240,4713993
Ireland,2005,pers: Male: Sole holders working on the farm,117870,4713993
Ireland,2005,pers: Sole holders working on the farm,130420,4713993
Ireland,2005,pers: Family labour force,233690,4713993
Italy,2005,pers: Female: Sole holders working on the farm,518790,59801004
Italy,2005,AWU: Sole holders,687730,59801004
Italy,2005,pers: Male: Sole holders working on the farm,1180680,59801004
Italy,2005,pers: Sole holders working on the farm,1699460,59801004
Italy,2005,pers: Family labour force,3127460,59801004
Latvia,2005,pers: Female: Sole holders working on the farm,57900,1955742
Latvia,2005,AWU: Sole holders,65290,1955742
Latvia,2005,pers: Male: Sole holders working on the farm,66250,1955742
Latvia,2005,pers: Sole holders working on the farm,124150,1955742
Latvia,2005,pers: Family labour force,235620,1955742
Lithuania,2005,AWU: Sole holders,99130,2850030
Lithuania,2005,pers: Female: Sole holders working on the farm,107060,2850030
Lithuania,2005,pers: Male: Sole holders working on the farm,144830,2850030
Lithuania,2005,pers: Sole holders working on the farm,251890,2850030
Lithuania,2005,pers: Family labour force,510470,2850030
Luxembourg,2005,pers: Female: Sole holders working on the farm,430,576243
Luxembourg,2005,AWU: Sole holders,1810,576243
Luxembourg,2005,pers: Male: Sole holders working on the farm,1900,576243
Luxembourg,2005,pers: Sole holders working on the farm,2330,576243
Luxembourg,2005,pers: Family labour force,5020,576243
Malta,2005,pers: Female: Sole holders working on the farm,970,419615
Malta,2005,AWU: Sole holders,2650,419615
Malta,2005,pers: Male: Sole holders working on the farm,9730,419615
Malta,2005,pers: Sole holders working on the farm,10690,419615
Malta,2005,pers: Family labour force,17390,419615
Netherlands,2005,pers: Female: Sole holders working on the farm,5270,16979729
Netherlands,2005,AWU: Sole holders,64160,16979729
Netherlands,2005,pers: Male: Sole holders working on the farm,72520,16979729
Netherlands,2005,pers: Sole holders working on the farm,77790,16979729
Netherlands,2005,pers: Family labour force,160480,16979729
Poland,2005,pers: Female: Sole holders working on the farm,802140,38593161
Poland,2005,AWU: Sole holders,1118320,38593161
Poland,2005,pers: Male: Sole holders working on the farm,1670690,38593161
Poland,2005,pers: Sole holders working on the farm,2472830,38593161
Poland,2005,pers: Family labour force,5044310,38593161
Portugal,2005,pers: Female: Sole holders working on the farm,81610,10304434
Portugal,2005,AWU: Sole holders,175500,10304434
Portugal,2005,pers: Male: Sole holders working on the farm,235470,10304434
Portugal,2005,pers: Sole holders working on the farm,317070,10304434
Portugal,2005,pers: Family labour force,756120,10304434
Romania,2005,AWU: Sole holders,1238810,19372734
Romania,2005,pers: Female: Sole holders working on the farm,1241350,19372734
Romania,2005,pers: Male: Sole holders working on the farm,2996540,19372734
Romania,2005,pers: Sole holders working on the farm,4237890,19372734
Romania,2005,pers: Family labour force,8435390,19372734
Slovakia,2005,pers: Female: Sole holders working on the farm,12840,5429418
Slovakia,2005,AWU: Sole holders,23380,5429418
Slovakia,2005,pers: Male: Sole holders working on the farm,53850,5429418
Slovakia,2005,pers: Sole holders working on the farm,66690,5429418
Slovakia,2005,pers: Family labour force,158960,5429418
Slovenia,2005,pers: Female: Sole holders working on the farm,20190,2069362
Slovenia,2005,AWU: Sole holders,40910,2069362
Slovenia,2005,pers: Male: Sole holders working on the farm,56850,2069362
Slovenia,2005,pers: Sole holders working on the farm,77040,2069362
Slovenia,2005,pers: Family labour force,204020,2069362
Spain,2005,pers: Female: Sole holders working on the farm,231920,46064604
Spain,2005,AWU: Sole holders,409900,46064604
Spain,2005,pers: Male: Sole holders working on the farm,712900,46064604
Spain,2005,pers: Sole holders working on the farm,944830,46064604
Spain,2005,pers: Family labour force,1900180,46064604
Sweden,2005,pers: Female: Sole holders working on the farm,8560,9851852
Sweden,2005,AWU: Sole holders,34470,9851852
Sweden,2005,pers: Male: Sole holders working on the farm,61840,9851852
Sweden,2005,pers: Sole holders working on the farm,70400,9851852
Sweden,2005,pers: Family labour force,132350,9851852
United Kingdom,2005,pers: Female: Sole holders working on the farm,44790,65111143
United Kingdom,2005,AWU: Sole holders,136390,65111143
United Kingdom,2005,pers: Male: Sole holders working on the farm,223210,65111143
United Kingdom,2005,pers: Sole holders working on the farm,268000,65111143
United Kingdom,2005,pers: Family labour force,503540,65111143
Austria,2007,pers: Female: Sole holders working on the farm,51130,8569633
Austria,2007,AWU: Sole holders,89830,8569633
Austria,2007,pers: Male: Sole holders working on the farm,108040,8569633
Austria,2007,pers: Sole holders working on the farm,159170,8569633
Austria,2007,pers: Family labour force,389140,8569633
Belgium,2007,pers: Female: Sole holders working on the farm,6500,11371928
Belgium,2007,AWU: Sole holders,34930,11371928
Belgium,2007,pers: Male: Sole holders working on the farm,37710,11371928
Belgium,2007,pers: Sole holders working on the farm,44210,11371928
Belgium,2007,pers: Family labour force,75480,11371928
Bulgaria,2007,pers: Female: Sole holders working on the farm,97120,7097796
Bulgaria,2007,AWU: Sole holders,246620,7097796
Bulgaria,2007,pers: Male: Sole holders working on the farm,391850,7097796
Bulgaria,2007,pers: Sole holders working on the farm,488960,7097796
Bulgaria,2007,pers: Family labour force,896980,7097796
Croatia,2007,pers: Female: Sole holders working on the farm,35730,4225001
Croatia,2007,AWU: Sole holders,73000,4225001
Croatia,2007,pers: Male: Sole holders working on the farm,139480,4225001
Croatia,2007,pers: Sole holders working on the farm,175210,4225001
Croatia,2007,pers: Family labour force,423920,4225001
Cyprus,2007,pers: Female: Sole holders working on the farm,10110,1176598
Cyprus,2007,AWU: Sole holders,11720,1176598
Cyprus,2007,pers: Male: Sole holders working on the farm,29550,1176598
Cyprus,2007,pers: Sole holders working on the farm,39660,1176598
Cyprus,2007,pers: Family labour force,78940,1176598
Czech Republic,2007,pers: Female: Sole holders working on the farm,6430,10548058
Czech Republic,2007,AWU: Sole holders,21300,10548058
Czech Republic,2007,pers: Male: Sole holders working on the farm,29930,10548058
Czech Republic,2007,pers: Sole holders working on the farm,36360,10548058
Czech Republic,2007,pers: Family labour force,81120,10548058
Denmark,2007,pers: Female: Sole holders working on the farm,5090,5690750
Denmark,2007,AWU: Sole holders,25860,5690750
Denmark,2007,pers: Male: Sole holders working on the farm,38300,5690750
Denmark,2007,pers: Sole holders working on the farm,43380,5690750
Denmark,2007,pers: Family labour force,63310,5690750
Estonia,2007,pers: Female: Sole holders working on the farm,8980,1309104
Estonia,2007,AWU: Sole holders,9970,1309104
Estonia,2007,pers: Male: Sole holders working on the farm,12730,1309104
Estonia,2007,pers: Sole holders working on the farm,21710,1309104
Estonia,2007,pers: Family labour force,50750,1309104
Finland,2007,pers: Female: Sole holders working on the farm,7100,5523904
Finland,2007,AWU: Sole holders,37580,5523904
Finland,2007,pers: Male: Sole holders working on the farm,59930,5523904
Finland,2007,pers: Sole holders working on the farm,67040,5523904
Finland,2007,pers: Family labour force,129650,5523904
France,2007,pers: Female: Sole holders working on the farm,98820,64668129
France,2007,AWU: Sole holders,287170,64668129
France,2007,pers: Male: Sole holders working on the farm,328700,64668129
France,2007,pers: Sole holders working on the farm,427520,64668129
France,2007,pers: Family labour force,633090,64668129
Germany,2007,pers: Female: Sole holders working on the farm,35120,80682351
Germany,2007,AWU: Sole holders,245380,80682351
Germany,2007,pers: Male: Sole holders working on the farm,330210,80682351
Germany,2007,pers: Sole holders working on the farm,365330,80682351
Germany,2007,pers: Family labour force,747550,80682351
Greece,2007,pers: Female: Sole holders working on the farm,260290,10919459
Greece,2007,AWU: Sole holders,296020,10919459
Greece,2007,pers: Male: Sole holders working on the farm,599220,10919459
Greece,2007,pers: Sole holders working on the farm,859510,10919459
Greece,2007,pers: Family labour force,1478590,10919459
Hungary,2007,pers: Female: Sole holders working on the farm,144350,9821318
Hungary,2007,AWU: Sole holders,195410,9821318
Hungary,2007,pers: Male: Sole holders working on the farm,474140,9821318
Hungary,2007,pers: Sole holders working on the farm,618490,9821318
Hungary,2007,pers: Family labour force,1171340,9821318
Ireland,2007,pers: Female: Sole holders working on the farm,12880,4713993
Ireland,2007,AWU: Sole holders,95700,4713993
Ireland,2007,pers: Male: Sole holders working on the farm,113770,4713993
Ireland,2007,pers: Sole holders working on the farm,126650,4713993
Ireland,2007,pers: Family labour force,227610,4713993
Italy,2007,pers: Female: Sole holders working on the farm,535620,59801004
Italy,2007,AWU: Sole holders,662590,59801004
Italy,2007,pers: Male: Sole holders working on the farm,1127890,59801004
Italy,2007,pers: Sole holders working on the farm,1663510,59801004
Italy,2007,pers: Family labour force,3056540,59801004
Latvia,2007,pers: Female: Sole holders working on the farm,49950,1955742
Latvia,2007,AWU: Sole holders,50410,1955742
Latvia,2007,pers: Male: Sole holders working on the farm,56430,1955742
Latvia,2007,pers: Sole holders working on the farm,106380,1955742
Latvia,2007,pers: Family labour force,195090,1955742
Lithuania,2007,AWU: Sole holders,81470,2850030
Lithuania,2007,pers: Female: Sole holders working on the farm,104730,2850030
Lithuania,2007,pers: Male: Sole holders working on the farm,122180,2850030
Lithuania,2007,pers: Sole holders working on the farm,226910,2850030
Lithuania,2007,pers: Family labour force,449770,2850030
Luxembourg,2007,pers: Female: Sole holders working on the farm,450,576243
Luxembourg,2007,AWU: Sole holders,1720,576243
Luxembourg,2007,pers: Male: Sole holders working on the farm,1750,576243
Luxembourg,2007,pers: Sole holders working on the farm,2200,576243
Luxembourg,2007,pers: Family labour force,4690,576243
Malta,2007,pers: Female: Sole holders working on the farm,1020,419615
Malta,2007,AWU: Sole holders,2660,419615
Malta,2007,pers: Male: Sole holders working on the farm,9550,419615
Malta,2007,pers: Sole holders working on the farm,10570,419615
Malta,2007,pers: Family labour force,16490,419615
Netherlands,2007,pers: Female: Sole holders working on the farm,3930,16979729
Netherlands,2007,AWU: Sole holders,58700,16979729
Netherlands,2007,pers: Male: Sole holders working on the farm,68830,16979729
Netherlands,2007,pers: Sole holders working on the farm,72760,16979729
Netherlands,2007,pers: Family labour force,150170,16979729
Poland,2007,pers: Female: Sole holders working on the farm,779480,38593161
Poland,2007,AWU: Sole holders,1099410,38593161
Poland,2007,pers: Male: Sole holders working on the farm,1592630,38593161
Poland,2007,pers: Sole holders working on the farm,2372110,38593161
Poland,2007,pers: Family labour force,4964600,38593161
Portugal,2007,pers: Female: Sole holders working on the farm,71210,10304434
Portugal,2007,AWU: Sole holders,148680,10304434
Portugal,2007,pers: Male: Sole holders working on the farm,197350,10304434
Portugal,2007,pers: Sole holders working on the farm,268570,10304434
Portugal,2007,pers: Family labour force,636150,10304434
Romania,2007,AWU: Sole holders,1135250,19372734
Romania,2007,pers: Female: Sole holders working on the farm,1172910,19372734
Romania,2007,pers: Male: Sole holders working on the farm,2740740,19372734
Romania,2007,pers: Sole holders working on the farm,3913650,19372734
Romania,2007,pers: Family labour force,6395790,19372734
Slovakia,2007,pers: Female: Sole holders working on the farm,12480,5429418
Slovakia,2007,AWU: Sole holders,22720,5429418
Slovakia,2007,pers: Male: Sole holders working on the farm,54470,5429418
Slovakia,2007,pers: Sole holders working on the farm,66950,5429418
Slovakia,2007,pers: Family labour force,156640,5429418
Slovenia,2007,pers: Female: Sole holders working on the farm,19760,2069362
Slovenia,2007,AWU: Sole holders,36820,2069362
Slovenia,2007,pers: Male: Sole holders working on the farm,55450,2069362
Slovenia,2007,pers: Sole holders working on the farm,75210,2069362
Slovenia,2007,pers: Family labour force,197490,2069362
Spain,2007,pers: Female: Sole holders working on the farm,230830,46064604
Spain,2007,AWU: Sole holders,385100,46064604
Spain,2007,pers: Male: Sole holders working on the farm,682890,46064604
Spain,2007,pers: Sole holders working on the farm,913720,46064604
Spain,2007,pers: Family labour force,1840750,46064604
Sweden,2007,pers: Female: Sole holders working on the farm,10030,9851852
Sweden,2007,AWU: Sole holders,31860,9851852
Sweden,2007,pers: Male: Sole holders working on the farm,57590,9851852
Sweden,2007,pers: Sole holders working on the farm,67620,9851852
Sweden,2007,pers: Family labour force,128530,9851852
United Kingdom,2007,pers: Female: Sole holders working on the farm,31840,65111143
United Kingdom,2007,AWU: Sole holders,121170,65111143
United Kingdom,2007,pers: Male: Sole holders working on the farm,178070,65111143
United Kingdom,2007,pers: Sole holders working on the farm,209910,65111143
