"TIME","GEO","AGRAREA","UNIT","VARIABLE","Value"
"1997","Anatoliki Makedonia, Thraki (NUTS 2010)","Total","Number","LSU:Livestock","177.890"
"1997","Anatoliki Makedonia, Thraki (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"1997","Kentriki Makedonia (NUTS 2010)","Total","Number","LSU:Livestock","380.250"
"1997","Kentriki Makedonia (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"1997","Dytiki Makedonia (NUTS 2010)","Total","Number","LSU:Livestock","97.310"
"1997","Dytiki Makedonia (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"1997","Thessalia (NUTS 2010)","Total","Number","LSU:Livestock","279.280"
"1997","Thessalia (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"1997","Ipeiros (NUTS 2010)","Total","Number","LSU:Livestock","288.540"
"1997","Ipeiros (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"1997","Ionia Nisia (NUTS 2010)","Total","Number","LSU:Livestock","40.810"
"1997","Ionia Nisia (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"1997","Dytiki Ellada (NUTS 2010)","Total","Number","LSU:Livestock","240.370"
"1997","Dytiki Ellada (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"1997","Sterea Ellada (NUTS 2010)","Total","Number","LSU:Livestock","169.200"
"1997","Sterea Ellada (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"1997","Peloponnisos (NUTS 2010)","Total","Number","LSU:Livestock","156.680"
"1997","Peloponnisos (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"1997","Attiki","Total","Number","LSU:Livestock","72.980"
"1997","Attiki","Total","Holding","LSU:Livestock",":"
"1997","Voreio Aigaio","Total","Number","LSU:Livestock","54.440"
"1997","Voreio Aigaio","Total","Holding","LSU:Livestock",":"
"1997","Notio Aigaio","Total","Number","LSU:Livestock","88.680"
"1997","Notio Aigaio","Total","Holding","LSU:Livestock",":"
"1997","Kriti","Total","Number","LSU:Livestock","229.870"
"1997","Kriti","Total","Holding","LSU:Livestock",":"
"2000","Anatoliki Makedonia, Thraki (NUTS 2010)","Total","Number","LSU:Livestock","231.310"
"2000","Anatoliki Makedonia, Thraki (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2000","Kentriki Makedonia (NUTS 2010)","Total","Number","LSU:Livestock","417.600"
"2000","Kentriki Makedonia (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2000","Dytiki Makedonia (NUTS 2010)","Total","Number","LSU:Livestock","114.410"
"2000","Dytiki Makedonia (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2000","Thessalia (NUTS 2010)","Total","Number","LSU:Livestock","300.190"
"2000","Thessalia (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2000","Ipeiros (NUTS 2010)","Total","Number","LSU:Livestock","299.510"
"2000","Ipeiros (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2000","Ionia Nisia (NUTS 2010)","Total","Number","LSU:Livestock","41.070"
"2000","Ionia Nisia (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2000","Dytiki Ellada (NUTS 2010)","Total","Number","LSU:Livestock","278.160"
"2000","Dytiki Ellada (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2000","Sterea Ellada (NUTS 2010)","Total","Number","LSU:Livestock","214.790"
"2000","Sterea Ellada (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2000","Peloponnisos (NUTS 2010)","Total","Number","LSU:Livestock","188.710"
"2000","Peloponnisos (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2000","Attiki","Total","Number","LSU:Livestock","54.610"
"2000","Attiki","Total","Holding","LSU:Livestock",":"
"2000","Voreio Aigaio","Total","Number","LSU:Livestock","69.730"
"2000","Voreio Aigaio","Total","Holding","LSU:Livestock",":"
"2000","Notio Aigaio","Total","Number","LSU:Livestock","84.510"
"2000","Notio Aigaio","Total","Holding","LSU:Livestock",":"
"2000","Kriti","Total","Number","LSU:Livestock","245.500"
"2000","Kriti","Total","Holding","LSU:Livestock",":"
"2003","Anatoliki Makedonia, Thraki (NUTS 2010)","Total","Number","LSU:Livestock","236.200"
"2003","Anatoliki Makedonia, Thraki (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2003","Kentriki Makedonia (NUTS 2010)","Total","Number","LSU:Livestock","410.480"
"2003","Kentriki Makedonia (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2003","Dytiki Makedonia (NUTS 2010)","Total","Number","LSU:Livestock","120.880"
"2003","Dytiki Makedonia (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2003","Thessalia (NUTS 2010)","Total","Number","LSU:Livestock","339.340"
"2003","Thessalia (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2003","Ipeiros (NUTS 2010)","Total","Number","LSU:Livestock","280.200"
"2003","Ipeiros (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2003","Ionia Nisia (NUTS 2010)","Total","Number","LSU:Livestock","50.190"
"2003","Ionia Nisia (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2003","Dytiki Ellada (NUTS 2010)","Total","Number","LSU:Livestock","320.250"
"2003","Dytiki Ellada (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2003","Sterea Ellada (NUTS 2010)","Total","Number","LSU:Livestock","213.700"
"2003","Sterea Ellada (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2003","Peloponnisos (NUTS 2010)","Total","Number","LSU:Livestock","181.140"
"2003","Peloponnisos (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2003","Attiki","Total","Number","LSU:Livestock","50.050"
"2003","Attiki","Total","Holding","LSU:Livestock",":"
"2003","Voreio Aigaio","Total","Number","LSU:Livestock","73.630"
"2003","Voreio Aigaio","Total","Holding","LSU:Livestock",":"
"2003","Notio Aigaio","Total","Number","LSU:Livestock","84.170"
"2003","Notio Aigaio","Total","Holding","LSU:Livestock",":"
"2003","Kriti","Total","Number","LSU:Livestock","268.410"
"2003","Kriti","Total","Holding","LSU:Livestock",":"
"2005","Anatoliki Makedonia, Thraki (NUTS 2010)","Total","Number","LSU:Livestock","222.900"
"2005","Anatoliki Makedonia, Thraki (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2005","Kentriki Makedonia (NUTS 2010)","Total","Number","LSU:Livestock","404.890"
"2005","Kentriki Makedonia (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2005","Dytiki Makedonia (NUTS 2010)","Total","Number","LSU:Livestock","125.270"
"2005","Dytiki Makedonia (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2005","Thessalia (NUTS 2010)","Total","Number","LSU:Livestock","311.700"
"2005","Thessalia (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2005","Ipeiros (NUTS 2010)","Total","Number","LSU:Livestock","261.870"
"2005","Ipeiros (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2005","Ionia Nisia (NUTS 2010)","Total","Number","LSU:Livestock","40.280"
"2005","Ionia Nisia (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2005","Dytiki Ellada (NUTS 2010)","Total","Number","LSU:Livestock","307.610"
"2005","Dytiki Ellada (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2005","Sterea Ellada (NUTS 2010)","Total","Number","LSU:Livestock","176.840"
"2005","Sterea Ellada (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2005","Peloponnisos (NUTS 2010)","Total","Number","LSU:Livestock","163.580"
"2005","Peloponnisos (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2005","Attiki","Total","Number","LSU:Livestock","44.720"
"2005","Attiki","Total","Holding","LSU:Livestock",":"
"2005","Voreio Aigaio","Total","Number","LSU:Livestock","72.250"
"2005","Voreio Aigaio","Total","Holding","LSU:Livestock",":"
"2005","Notio Aigaio","Total","Number","LSU:Livestock","85.550"
"2005","Notio Aigaio","Total","Holding","LSU:Livestock",":"
"2005","Kriti","Total","Number","LSU:Livestock","262.190"
"2005","Kriti","Total","Holding","LSU:Livestock",":"
"2007","Anatoliki Makedonia, Thraki (NUTS 2010)","Total","Number","LSU:Livestock","248.920"
"2007","Anatoliki Makedonia, Thraki (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2007","Kentriki Makedonia (NUTS 2010)","Total","Number","LSU:Livestock","423.390"
"2007","Kentriki Makedonia (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2007","Dytiki Makedonia (NUTS 2010)","Total","Number","LSU:Livestock","105.460"
"2007","Dytiki Makedonia (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2007","Thessalia (NUTS 2010)","Total","Number","LSU:Livestock","352.960"
"2007","Thessalia (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2007","Ipeiros (NUTS 2010)","Total","Number","LSU:Livestock","289.590"
"2007","Ipeiros (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2007","Ionia Nisia (NUTS 2010)","Total","Number","LSU:Livestock","39.080"
"2007","Ionia Nisia (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2007","Dytiki Ellada (NUTS 2010)","Total","Number","LSU:Livestock","347.120"
"2007","Dytiki Ellada (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2007","Sterea Ellada (NUTS 2010)","Total","Number","LSU:Livestock","183.000"
"2007","Sterea Ellada (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2007","Peloponnisos (NUTS 2010)","Total","Number","LSU:Livestock","164.880"
"2007","Peloponnisos (NUTS 2010)","Total","Holding","LSU:Livestock",":"
"2007","Attiki","Total","Number","LSU:Livestock","35.990"
"2007","Attiki","Total","Holding","LSU:Livestock",":"
"2007","Voreio Aigaio","Total","Number","LSU:Livestock","82.280"
"2007","Voreio Aigaio","Total","Holding","LSU:Livestock",":"
"2007","Notio Aigaio","Total","Number","LSU:Livestock","67.480"
"2007","Notio Aigaio","Total","Holding","LSU:Livestock",":"
"2007","Kriti","Total","Number","LSU:Livestock","286.420"
"2007","Kriti","Total","Holding","LSU:Livestock",":"
