Έτος;Περιφέρεια;Σύνολο αιγοειδών;Αίγες γαλακτοπαραγωγής;Λοιπά θηλυκά γαλακτοπαραγωγής;Θηλυκά αντικατάστασης;Λοιπά θηλυκά;Αρσενικά αναπαραγωγής;Λοπά αρσενικά
2002;Ανατολική Μακεδονία και Θράκη;472783;354743;54784;19678;8851;24221;10506
2002;Αττική;61517;35847;6989;4934;6124;2357;5266
2002;Βόρειο Αιγαίο;104872;78872;8930;3457;4535;5446;3632
2002;Δυτική Ελλάδα;595507;321779;73039;78858;40749;27757;53325
2002;Δυτική Μακεδονία;205965;158541;27111;6103;973;10517;2720
2002;Ήπειρος;331347;191662;28104;26623;40967;17989;26002
2002;Θεσσαλία;626508;381339;73415;33551;56484;26544;55175
2002;Ιόνια Νησιά;151320;81610;12334;19614;9354;5653;22755
2002;Κεντρική Μακεδονία;713896;488564;98187;58765;16568;33134;18678
2002;Κρήτη;620258;289462;56869;74821;83780;23644;91682
2002;Νότιο Αιγαίο;364574;224675;43292;44047;30094;13959;8507
2002;Πελοπόννησος;640653;304440;58703;21690;121775;21712;112333
2002;Στερεά Ελλάδα;578928;379995;41852;45378;46404;27924;37375
2003;Ανατολική Μακεδονία και Θράκη;426751;341135;45758;13612;2066;20590;3590
2003;Αττική;62650;38767;5115;6524;5278;2618;4348
2003;Βόρειο Αιγαίο;101442;70638;8555;5364;4175;6030;6680
2003;Δυτική Ελλάδα;564990;294678;67458;47649;68255;25865;61085
2003;Δυτική Μακεδονία;179874;142027;20030;5089;1129;7812;3787
2003;Ήπειρος;301329;189507;24977;21638;24042;15586;25579
2003;Θεσσαλία;478252;280624;69521;43339;30213;19169;35386
2003;Ιόνια Νησιά;145203;86202;15955;8972;9599;11404;13071
2003;Κεντρική Μακεδονία;775241;508618;78979;79683;57387;34235;16339
2003;Κρήτη;693005;333777;61180;70699;103160;35260;88929
2003;Νότιο Αιγαίο;242117;150729;33428;18027;16383;11788;11762
2003;Πελοπόννησος;605320;377916;44424;42744;51666;23022;65548
2003;Στερεά Ελλάδα;540800;306671;49608;42459;57792;21934;62336
2004;Ανατολική Μακεδονία και Θράκη;516849;374145;73806;32876;6674;22946;6402
2004;Αττική;57743;35829;6286;4284;5236;2153;3955
2004;Βόρειο Αιγαίο;119339;84185;15383;1421;3611;5468;9271
2004;Δυτική Ελλάδα;542732;315289;49173;50021;49743;25731;52775
2004;Δυτική Μακεδονία;215584;165734;25593;8812;2047;9694;3704
2004;Ήπειρος;333772;193611;28849;41433;27143;12655;30081
2004;Θεσσαλία;525857;334127;53118;33555;41195;22242;41620
2004;Ιόνια Νησιά;146654;95990;12256;9323;8179;6036;14870
2004;Κεντρική Μακεδονία;724142;448690;82077;106741;23051;32722;30861
2004;Κρήτη;623665;327197;67876;56433;65877;24372;81910
2004;Νότιο Αιγαίο;282995;186271;37151;15037;18821;15923;9792
2004;Πελοπόννησος;589714;375335;44753;21994;62787;24540;60305
2004;Στερεά Ελλάδα;530092;334838;44677;42367;40950;24907;42353
2005;Ανατολική Μακεδονία και Θράκη;467261;347670;65760;18374;7487;18629;9341
2005;Αττική;56361;40547;4546;3079;3023;2322;2844
2005;Βόρειο Αιγαίο;111076;79552;14001;3992;3528;4915;5088
2005;Δυτική Ελλάδα;522157;312827;52968;41049;39632;20102;55579
2005;Δυτική Μακεδονία;193158;139673;23405;11547;2373;7482;8678
2005;Ήπειρος;298488;198253;17103;20306;24308;11262;27256
2005;Θεσσαλία;490444;322120;58646;41913;19950;22589;25226
2005;Ιόνια Νησιά;125221;92900;14076;6261;1594;5550;4840
2005;Κεντρική Μακεδονία;656943;451620;96830;32740;14135;26925;34693
2005;Κρήτη;637059;346698;64116;47177;69278;23159;86631
2005;Νότιο Αιγαίο;270678;196336;26214;14039;10618;12395;11076
2005;Πελοπόννησος;563443;305765;62100;42682;73439;19713;59744
2005;Στερεά Ελλάδα;533324;347205;57039;37759;31299;20625;39397
2006;Ανατολική Μακεδονία και Θράκη;516281;361609;82602;20083;20150;25583;6254
2006;Αττική;54703;35951;4759;4904;3967;2545;2577
2006;Βόρειο Αιγαίο;117969;91110;12496;3290;2661;6400;2012
2006;Δυτική Ελλάδα;550484;314162;63411;49652;51240;29197;42822
2006;Δυτική Μακεδονία;211402;158729;26697;8091;4159;10778;2948
2006;Ήπειρος;329823;179214;33691;24891;43660;23262;25105
2006;Θεσσαλία;519133;340314;69955;41061;24656;26695;16452
2006;Ιόνια Νησιά;125348;81288;16069;6308;6544;9776;5363
2006;Κεντρική Μακεδονία;666335;435405;87155;73962;17807;34161;17845
2006;Κρήτη;560813;301615;63752;40322;59068;40039;56017
2006;Νότιο Αιγαίο;266242;200446;19185;10680;12852;14621;8458
2006;Πελοπόννησος;576476;317533;49307;29578;76919;27981;75158
2006;Στερεά Ελλάδα;491414;304701;52282;33321;43912;25245;31953
2007;Ανατολική Μακεδονία και Θράκη;515595;393774;51080;26771;13713;23890;6367
2007;Αττική;51974;36499;4409;3110;2555;2851;2550
2007;Βόρειο Αιγαίο;118367;85244;16176;3131;6394;5354;2068
2007;Δυτική Ελλάδα;583793;387162;51588;37940;38936;28644;39523
2007;Δυτική Μακεδονία;203395;152047;16738;10419;6202;10954;7035
2007;Ήπειρος;323624;210405;25141;19605;25098;18363;25012
2007;Θεσσαλία;521145;336350;63424;36769;40777;21786;22039
2007;Ιόνια Νησιά;140757;99434;14662;9369;3644;8549;5099
2007;Κεντρική Μακεδονία;661778;469268;73409;49374;19732;31769;18226
2007;Κρήτη;577875;349565;56859;39057;56959;29090;46345
2007;Νότιο Αιγαίο;221466;140051;22286;8847;25952;10730;13600
2007;Πελοπόννησος;567525;370565;37706;38002;56150;25790;39312
2007;Στερεά Ελλάδα;491952;344030;41191;37965;21681;23917;23168
2008;Ανατολική Μακεδονία και Θράκη;464743;344981;52491;24395;14723;24176;3977
2008;Αττική;48730;33544;2691;3593;3539;2240;3123
2008;Βόρειο Αιγαίο;128249;104690;11546;3412;997;6981;623
2008;Δυτική Ελλάδα;521202;299769;61566;49016;45674;29589;35588
2008;Δυτική Μακεδονία;194681;143141;28616;9576;2612;9347;1389
2008;Ήπειρος;278415;153852;32461;22628;29694;17540;22240
2008;Θεσσαλία;477342;311525;50973;25928;33063;23611;32242
2008;Ιόνια Νησιά;138796;91791;14665;8853;8347;8502;6638
2008;Κεντρική Μακεδονία;625348;406910;94516;48455;21910;34841;18716
2008;Κρήτη;606359;309752;54888;47737;78677;27056;88249
2008;Νότιο Αιγαίο;248749;151607;23592;29563;17802;15500;10685
2008;Πελοπόννησος;558817;318073;59833;29743;56766;28466;65936
2008;Στερεά Ελλάδα;487978;260921;50536;42623;69263;27132;37503
2009;Ανατολική Μακεδονία και Θράκη;459720;350567;32471;30293;20018;22005;4366
2009;Αττική;43815;26248;2629;2104;8594;2595;1645
2009;Βόρειο Αιγαίο;115824;86671;10259;9938;1276;5934;1746
2009;Δυτική Ελλάδα;522155;336792;42878;31454;38201;29099;43731
2009;Δυτική Μακεδονία;201279;132273;14958;32537;5322;12582;3607
2009;Ήπειρος;283552;207460;15055;18287;13898;15128;13724
2009;Θεσσαλία;517525;347006;39404;53954;28835;28288;20038
2009;Ιόνια Νησιά;139383;100219;6369;13016;5988;8914;4877
2009;Κεντρική Μακεδονία;618744;462048;30962;43619;40846;33634;7635
2009;Κρήτη;584329;360300;31470;41172;75998;32014;43375
2009;Νότιο Αιγαίο;247026;170524;20651;14419;17254;12501;11677
2009;Πελοπόννησος;529397;358931;21104;27086;54486;27791;39999
2009;Στερεά Ελλάδα;475743;336614;30412;24563;35443;29703;19008
2010;Ανατολική Μακεδονία και Θράκη;447226;308698;49339;32867;21655;19330;15337
2010;Αττική;42341;21615;5523;6609;4161;1621;2812
2010;Βόρειο Αιγαίο;108264;79753;15666;1882;4780;5021;1162
2010;Δυτική Ελλάδα;499763;280769;38570;40956;56008;24815;58645
2010;Δυτική Μακεδονία;177421;126097;15095;12314;8023;8851;7041
2010;Ήπειρος;204207;117595;7999;17474;22375;10758;28006
2010;Θεσσαλία;453874;302144;47524;30812;25868;20914;26612
2010;Ιόνια Νησιά;132363;72918;2660;17860;24947;8478;5500
2010;Κεντρική Μακεδονία;550332;382893;78307;25878;22202;27176;13876
2010;Κρήτη;641926;321928;73141;64094;82906;28688;71169
2010;Νότιο Αιγαίο;244265;154734;19030;10093;36586;13203;10619
2010;Πελοπόννησος;542977;333693;44492;57997;47318;25031;34446
2010;Στερεά Ελλάδα;417075;207516;44443;26271;59752;15586;63507
2011;Ανατολική Μακεδονία και Θράκη;445677;284096;39046;40127;53329;19565;9514
2011;Αττική;41457;30025;3265;1990;487;3115;2575
2011;Βόρειο Αιγαίο;109555;72250;13576;8807;6268;5605;3049
2011;Δυτική Ελλάδα;491938;319904;57644;28045;34805;25159;26381
2011;Δυτική Μακεδονία;166090;116518;13482;12811;13060;7914;2305
2011;Ήπειρος;200128;128780;12751;14622;14822;10500;18653
2011;Θεσσαλία;416050;277425;47786;40016;16541;20576;13706
2011;Ιόνια Νησιά;131164;70951;11592;10295;23464;6813;8049
2011;Κεντρική Μακεδονία;533152;356077;63096;41283;31482;26163;15051
2011;Κρήτη;618652;323267;76738;50408;65932;29285;73022
2011;Νότιο Αιγαίο;237076;156546;11622;13799;22117;12084;20908
2011;Πελοπόννησος;511813;300873;36935;46467;52109;24954;50475
2011;Στερεά Ελλάδα;393112;237836;37622;41381;36773;19220;20280
2012;Ανατολική Μακεδονία και Θράκη;434906;303639;38355;44801;17406;21782;8923
2012;Αττική;35316;17640;3147;7705;3377;1980;1467
2012;Βόρειο Αιγαίο;107601;80458;9611;3063;7993;5234;1242
2012;Δυτική Ελλάδα;498111;278668;50059;42348;47599;31424;48013
2012;Δυτική Μακεδονία;174924;115881;18309;8239;17407;10720;4368
2012;Ήπειρος;193479;114277;20336;13476;24458;8740;12192
2012;Θεσσαλία;435024;254493;39493;36576;56236;19735;28491
2012;Ιόνια Νησιά;136429;83115;15864;14948;10311;8594;3597
2012;Κεντρική Μακεδονία;533662;353466;39862;68893;35769;27929;7743
2012;Κρήτη;627916;321623;57128;53264;111513;35536;48852
2012;Νότιο Αιγαίο;250340;112601;13529;9790;97795;15082;1543
2012;Πελοπόννησος;481255;273800;32737;30339;71006;20441;52932
2012;Στερεά Ελλάδα;384331;213405;26070;47750;42673;18788;35645
2013;Ανατολική Μακεδονία και Θράκη;413239;254526;57023;36993;42904;15605;6188
2013;Αττική;43307;25427;2468;1992;6382;2028;5010
2013;Βόρειο Αιγαίο;113231;88366;7876;2142;4052;6020;4775
2013;Δυτική Ελλάδα;519184;266614;59886;37107;70996;27077;57504
2013;Δυτική Μακεδονία;170291;105627;20887;12937;18239;9111;3490
2013;Ήπειρος;189521;123656;16311;13098;15133;9579;11744
2013;Θεσσαλία;439439;286143;41718;28289;42451;18878;21960
2013;Ιόνια Νησιά;133440;98498;16070;4433;5293;7737;1409
2013;Κεντρική Μακεδονία;537003;369421;54710;47248;33632;24775;7217
2013;Κρήτη;641573;360902;43826;40833;101389;32058;62565
2013;Νότιο Αιγαίο;242730;143495;21524;22847;38495;10738;5631
2013;Πελοπόννησος;496067;297448;25022;23024;76347;19758;54468
2013;Στερεά Ελλάδα;376370;209211;49005;38990;38908;17071;23185
2014;Ανατολική Μακεδονία και Θράκη;426756;277856;80212;31944;12321;18988;5435
2014;Αττική;43653;28275;4182;3209;3988;2714;1285
2014;Βόρειο Αιγαίο;105635;70525;13048;8446;5309;6884;1423
2014;Δυτική Ελλάδα;495579;266547;48326;39574;56357;27399;57376
2014;Δυτική Μακεδονία;160807;92193;25453;14480;14246;7615;6820
2014;Ήπειρος;190132;131059;16130;12503;10141;10810;9489
2014;Θεσσαλία;438168;258698;53463;36411;36074;17345;36177
2014;Ιόνια Νησιά;134285;90536;17115;3434;11200;10193;1807
2014;Κεντρική Μακεδονία;539722;319370;83782;68687;37354;26715;3814
2014;Κρήτη;627730;353567;68834;39740;81260;30774;53555
2014;Νότιο Αιγαίο;243129;138353;22229;31014;35019;9800;6714
2014;Πελοπόννησος;479167;293012;36995;20807;63278;21647;43428
2014;Στερεά Ελλάδα;369736;229165;31622;29769;31023;24156;24001
2015;Ανατολική Μακεδονία και Θράκη;422505;297746;63273;26582;10533;20860;3512
2015;Αττική;40042;18796;10362;4248;2953;2236;1448
2015;Βόρειο Αιγαίο;99259;49012;24909;15121;4165;4649;1402
2015;Δυτική Ελλάδα;467560;233177;68970;39349;46445;25236;54384
2015;Δυτική Μακεδονία;154669;104003;21389;15048;4355;8987;886
2015;Ήπειρος;183095;114480;17842;14594;14791;11517;9872
2015;Θεσσαλία;432238;279646;39182;26567;37649;14982;34213
2015;Ιόνια Νησιά;121665;79447;16272;8709;4653;7619;4965
2015;Κεντρική Μακεδονία;515373;319202;82838;47681;34060;26174;5417
2015;Κρήτη;557667;296572;50241;54502;70550;29480;56322
2015;Νότιο Αιγαίο;218048;141668;19749;17869;27193;11075;494
2015;Πελοπόννησος;456952;244280;50309;19714;63036;25684;53930
2015;Στερεά Ελλάδα;348097;206094;30066;11193;50452;20208;30085
