Έτος;Περιφέρεια;Περιφερειακή Ενότητα;Αριθμός κυψελών;Παραγωγή μελιού (τν);Μέση τιμή παραγωγού (€/kg);Συνολική αξία παραγωγής (€)
2004;Ανατολικής Μακεδονίας και Θράκης;Δράμας;13000,00;158,60;4,36;691496,00
2004;Ανατολικής Μακεδονίας και Θράκης;Έβρου;26764,00;326,52;4,36;1423627,20
2004;Ανατολικής Μακεδονίας και Θράκης;Καβάλας;57490,00;701,38;4,36;3058016,80
2004;Ανατολικής Μακεδονίας και Θράκης;Ξάνθης;9740,00;118,83;4,36;518098,80
2004;Ανατολικής Μακεδονίας και Θράκης;Ροδόπης;12000,00;146,40;4,36;638304,00
2004;Αττικής;Αττικής;39850,00;486,17;4,36;2119701,20
2004;Αττικής;Πειραιά;14150,00;172,63;4,36;752666,80
2004;Βορείου Αιγαίου;Λέσβου;17000,00;207,40;4,36;904264,00
2004;Βορείου Αιγαίου;Σάμου;21890,00;267,06;4,36;1164381,60
2004;Βορείου Αιγαίου;Χίου;8238,00;100,50;4,36;438180,00
2004;Δυτικής Ελλάδας;Αιτωλοακαρνανίας;40045,00;488,55;4,36;2130078,00
2004;Δυτικής Ελλάδας;Αχαΐας;27500,00;335,50;4,36;1462780,00
2004;Δυτικής Ελλάδας;Ηλείας;12500,00;152,50;4,36;664900,00
2004;Δυτικής Μακεδονίας;Γρεβενών;5695,00;69,48;4,36;302932,80
2004;Δυτικής Μακεδονίας;Καστοριάς;2000,00;24,40;4,36;106384,00
2004;Δυτικής Μακεδονίας;Κοζάνης;9128,00;111,36;4,36;485529,60
2004;Δυτικής Μακεδονίας;Φλωρίνης;3405,00;41,54;4,36;181114,40
2004;Ηπείρου;Άρτης;25000,00;305,00;4,36;1329800,00
2004;Ηπείρου;Θεσπρωτίας;5580,00;68,08;4,36;296828,80
2004;Ηπείρου;Ιωαννίνων;18000,00;219,60;4,36;957456,00
2004;Ηπείρου;Πρεβέζης;6800,00;82,96;4,36;361705,60
2004;Θεσσαλίας;Καρδίτσης;50000,00;610,00;4,36;2659600,00
2004;Θεσσαλίας;Λαρίσης;33000,00;402,60;4,36;1755336,00
2004;Θεσσαλίας;Μαγνησίας;30000,00;366,00;4,36;1595760,00
2004;Θεσσαλίας;Τρικάλων;13522,00;164,97;4,36;719269,20
2004;Ιόνια Νησιά;Ζακύνθου;5912,00;72,13;4,36;314486,80
2004;Ιόνια Νησιά;Κέρκυρας;8000,00;97,60;4,36;425536,00
2004;Ιόνια Νησιά;Κεφαλληνίας;12000,00;146,40;4,36;638304,00
2004;Ιόνια Νησιά;Λευκάδος;6074,00;74,10;4,36;323076,00
2004;Κεντρικής Μακεδονίας;Ημαθίας;23870,00;291,21;4,36;1269675,60
2004;Κεντρικής Μακεδονίας;Θεσσαλονίκης;18200,00;222,04;4,36;968094,40
2004;Κεντρικής Μακεδονίας;Κιλκίς;6280,00;76,62;4,36;334063,20
2004;Κεντρικής Μακεδονίας;Πέλλης;10875,00;132,68;4,36;578484,80
2004;Κεντρικής Μακεδονίας;Πιερίας;10846,00;132,32;4,36;576915,20
2004;Κεντρικής Μακεδονίας;Σερρών;17800,00;217,16;4,36;946817,60
2004;Κεντρικής Μακεδονίας;Χαλκιδικής;172820,00;2108,40;4,36;9192624,00
2004;Κρήτης;Ηρακλείου;71000,00;866,20;4,36;3776632,00
2004;Κρήτης;Λασιθίου;25231,00;307,82;4,36;1342095,20
2004;Κρήτης;Ρεθύμνης;15000,00;183,00;4,36;797880,00
2004;Κρήτης;Χανίων;82000,00;1000,40;4,36;4361744,00
2004;Νοτίου Αιγαίου;Δωδεκανήσου;40800,00;497,76;4,36;2170233,60
2004;Νοτίου Αιγαίου;Κυκλάδων;29633,00;361,52;4,36;1576227,20
2004;Πελοποννήσου;Αργολίδος;43887,00;535,42;4,36;2334431,20
2004;Πελοποννήσου;Αρκαδίας;45600,00;556,32;4,36;2425555,20
2004;Πελοποννήσου;Κορινθίας;22650,00;276,33;4,36;1204798,80
2004;Πελοποννήσου;Λακωνίας;47050,00;574,01;4,36;2502683,60
2004;Πελοποννήσου;Μεσσηνίας;33500,00;408,70;4,36;1781932,00
2004;Στερεάς Ελλάδας;Βοιωτίας;23550,00;287,31;4,36;1252671,60
2004;Στερεάς Ελλάδας;Ευβοίας;111000,00;1354,20;4,36;5904312,00
2004;Στερεάς Ελλάδας;Ευρυτανίας;12578,00;153,45;4,36;669042,00
2004;Στερεάς Ελλάδας;Φθιώτιδας;53000,00;646,60;4,36;2819176,00
2004;Στερεάς Ελλάδας;Φωκίδας;9500,00;115,90;4,36;505324,00
2005;Ανατολικής Μακεδονίας και Θράκης;Δράμας;13500,00;167,40;5,64;944136,00
2005;Ανατολικής Μακεδονίας και Θράκης;Έβρου;27964,00;346,75;5,64;1955670,00
2005;Ανατολικής Μακεδονίας και Θράκης;Καβάλας;57490,00;712,88;5,64;4020643,20
2005;Ανατολικής Μακεδονίας και Θράκης;Ξάνθης;9900,00;122,76;5,64;692366,40
2005;Ανατολικής Μακεδονίας και Θράκης;Ροδόπης;12000,00;148,80;5,64;839232,00
2005;Αττικής;Αττικής;25930,00;321,53;5,64;1813429,20
2005;Αττικής;Πειραιά;13800,00;171,12;5,64;965116,80
2005;Βορείου Αιγαίου;ΛΕΣΒΟΥ;25000,00;310,00;5,64;1748400,00
2005;Βορείου Αιγαίου;Σάμου;22000,00;272,80;5,64;1538592,00
2005;Βορείου Αιγαίου;Χίου;8675,00;107,57;5,64;606694,80
2005;Δυτικής Ελλάδας;Αιτωλοακαρνανίας;40045,00;496,56;5,64;2800598,40
2005;Δυτικής Ελλάδας;Αχαΐας;28000,00;347,20;5,64;1958208,00
2005;Δυτικής Ελλάδας;Ηλείας;12100,00;150,04;5,64;846225,60
2005;Δυτικής Μακεδονίας;Γρεβενών;6200,00;76,88;5,64;433603,20
2005;Δυτικής Μακεδονίας;Καστοριάς;3700,00;45,88;5,64;258763,20
2005;Δυτικής Μακεδονίας;Κοζάνης;10159,00;125,97;5,64;710470,80
2005;Δυτικής Μακεδονίας;Φλωρίνης;3405,00;42,22;5,64;238120,80
2005;Ηπείρου;Άρτης;25000,00;310,00;5,64;1748400,00
2005;Ηπείρου;Θεσπρωτίας;5580,00;69,19;5,64;390231,60
2005;Ηπείρου;Ιωαννίνων;18000,00;223,20;5,64;1258848,00
2005;Ηπείρου;Πρεβέζης;6800,00;84,32;5,64;475564,80
2005;Θεσσαλίας;Καρδίτσης;50000,00;620,00;5,64;3496800,00
2005;Θεσσαλίας;Λαρίσης;34000,00;421,60;5,64;2377824,00
2005;Θεσσαλίας;Μαγνησίας;30400,00;376,96;5,64;2126054,40
2005;Θεσσαλίας;Τρικάλων;14981,00;185,76;5,64;1047686,40
2005;Ιόνια Νησιά;Ζακύνθου;6438,00;79,83;5,64;450241,20
2005;Ιόνια Νησιά;Κέρκυρας;8000,00;99,20;5,64;559488,00
2005;Ιόνια Νησιά;Κεφαλληνίας;12000,00;148,80;5,64;839232,00
2005;Ιόνια Νησιά;Λευκάδος;6074,00;75,32;5,64;424804,80
2005;Κεντρικής Μακεδονίας;Ημαθίας;9600,00;119,04;5,64;671385,60
2005;Κεντρικής Μακεδονίας;Θεσσαλονίκης;19200,00;238,08;5,64;1342771,20
2005;Κεντρικής Μακεδονίας;Κιλκίς;7741,00;95,99;5,64;541383,60
2005;Κεντρικής Μακεδονίας;Πέλλης;7650,00;94,86;5,64;535010,40
2005;Κεντρικής Μακεδονίας;Πιερίας;24000,00;297,60;5,64;1678464,00
2005;Κεντρικής Μακεδονίας;Σερρών;18600,00;230,64;5,64;1300809,60
2005;Κεντρικής Μακεδονίας;Χαλκιδικής;177560,00;2201,74;5,64;12417813,60
2005;Κρήτης;Ηρακλείου;75000,00;930,00;5,64;5245200,00
2005;Κρήτης;Λασιθίου;26600,00;329,84;5,64;1860297,60
2005;Κρήτης;Ρεθύμνης;17000,00;210,80;5,64;1188912,00
2005;Κρήτης;Χανίων;83000,00;1029,20;5,64;5804688,00
2005;Νοτίου Αιγαίου;Δωδεκανήσου;40800,00;505,92;5,64;2853388,80
2005;Νοτίου Αιγαίου;Κυκλάδων;29633,00;367,45;5,64;2072418,00
2005;Πελοποννήσου;Αργολίδος;47608,00;590,34;5,64;3329517,60
2005;Πελοποννήσου;Αρκαδίας;45600,00;565,44;5,64;3189081,60
2005;Πελοποννήσου;Κορινθίας;27511,00;341,14;5,64;1924029,60
2005;Πελοποννήσου;Λακωνίας;39880,00;494,51;5,64;2789036,40
2005;Πελοποννήσου;Μεσσηνίας;36768,00;455,92;5,64;2571388,80
2005;Στερεάς Ελλάδας;Βοιωτίας;23550,00;292,02;5,64;1646992,80
2005;Στερεάς Ελλάδας;Ευβοίας;120000,00;1488,00;5,64;8392320,00
2005;Στερεάς Ελλάδας;Ευρυτανίας;12578,00;155,97;5,64;879670,80
2005;Στερεάς Ελλάδας;Φθιώτιδας;53000,00;657,20;5,64;3706608,00
2005;Στερεάς Ελλάδας;Φωκίδας;9500,00;117,80;5,64;664392,00
2006;Ανατολικής Μακεδονίας και Θράκης;Δράμας;13871,00;169,23;5,45;922303,50
2006;Ανατολικής Μακεδονίας και Θράκης;Έβρου;28733,00;350,54;5,45;1910443,00
2006;Ανατολικής Μακεδονίας και Θράκης;Καβάλας;59071,00;720,67;5,45;3927651,50
2006;Ανατολικής Μακεδονίας και Θράκης;Ξάνθης;10172,00;124,10;5,45;676345,00
2006;Ανατολικής Μακεδονίας και Θράκης;Ροδόπης;12330,00;150,43;5,45;819843,50
2006;Αττικής;Αττικής;26643,00;325,05;5,45;1771522,50
2006;Αττικής;Πειραιά;14179,00;172,99;5,45;942795,50
2006;Βορείου Αιγαίου;Λέσβου;25688,00;313,39;5,45;1707975,50
2006;Βορείου Αιγαίου;Σάμου;22605,00;275,78;5,45;1503001,00
2006;Βορείου Αιγαίου;Χίου;8914,00;108,75;5,45;592687,50
2006;Δυτικής Ελλάδας;Αιτωλοακαρνανίας;41146,00;501,98;5,45;2735791,00
2006;Δυτικής Ελλάδας;Αχαΐας;28770,00;350,99;5,45;1912895,50
2006;Δυτικής Ελλάδας;Ηλείας;12433,00;151,68;5,45;826656,00
2006;Δυτικής Μακεδονίας;Γρεβενών;6370,00;77,72;5,45;423574,00
2006;Δυτικής Μακεδονίας;Καστοριάς;3802,00;46,38;5,45;252771,00
2006;Δυτικής Μακεδονίας;Κοζάνης;10438,00;127,35;5,45;694057,50
2006;Δυτικής Μακεδονίας;Φλωρίνης;3499,00;42,68;5,45;232606,00
2006;Ηπείρου;Άρτης;25687,00;313,39;5,45;1707975,50
2006;Ηπείρου;Θεσπρωτίας;5733,00;69,95;5,45;381227,50
2006;Ηπείρου;Ιωαννίνων;18495,00;225,64;5,45;1229738,00
2006;Ηπείρου;Πρεβέζης;6987,00;85,24;5,45;464558,00
2006;Θεσσαλίας;Καρδίτσης;51375,00;626,78;5,45;3415951,00
2006;Θεσσαλίας;Λαρίσης;34935,00;426,21;5,45;2322844,50
2006;Θεσσαλίας;Μαγνησίας;31236,00;381,08;5,45;2076886,00
2006;Θεσσαλίας;Τρικάλων;15393,00;187,79;5,45;1023455,50
2006;Ιόνια Νησιά;Ζακύνθου;6615,00;80,70;5,45;439815,00
2006;Ιόνια Νησιά;Κέρκυρας;8220,00;100,28;5,45;546526,00
2006;Ιόνια Νησιά;Κεφαλληνίας;12330,00;150,43;5,45;819843,50
2006;Ιόνια Νησιά;Λευκάδος;6241,00;76,14;5,45;414963,00
2006;Κεντρικής Μακεδονίας;Ημαθίας;9864,00;120,34;5,45;655853,00
2006;Κεντρικής Μακεδονίας;Θεσσαλονίκης;19728,00;240,68;5,45;1311706,00
2006;Κεντρικής Μακεδονίας;Κιλκίς;7954,00;97,04;5,45;528868,00
2006;Κεντρικής Μακεδονίας;Πέλλης;7860,00;95,90;5,45;522655,00
2006;Κεντρικής Μακεδονίας;Πιερίας;24660,00;300,85;5,45;1639632,50
2006;Κεντρικής Μακεδονίας;Σερρών;19111,00;233,16;5,45;1270722,00
2006;Κεντρικής Μακεδονίας;Χαλκιδικής;182443,00;2225,80;5,45;12130610,00
2006;Κρήτης;Ηρακλείου;77062,00;940,16;5,45;5123872,00
2006;Κρήτης;Λασιθίου;27331,00;333,44;5,45;1817248,00
2006;Κρήτης;Ρεθύμνης;17467,00;213,10;5,45;1161395,00
2006;Κρήτης;Χανίων;85282,00;1040,45;5,45;5670452,50
2006;Νοτίου Αιγαίου;Δωδεκανήσου;41922,00;511,45;5,45;2787402,50
2006;Νοτίου Αιγαίου;Κυκλάδων;30448,00;371,46;5,45;2024457,00
2006;Πελοποννήσου;Αργολίδος;48917,00;596,79;5,45;3252505,50
2006;Πελοποννήσου;Αρκαδίας;46854,00;571,62;5,45;3115329,00
2006;Πελοποννήσου;Κορινθίας;28267,00;344,86;5,45;1879487,00
2006;Πελοποννήσου;Λακωνίας;40977,00;499,92;5,45;2724564,00
2006;Πελοποννήσου;Μεσσηνίας;37779,00;460,91;5,45;2511959,50
2006;Στερεάς Ελλάδας;Βοιωτίας;24198,00;295,21;5,45;1608894,50
2006;Στερεάς Ελλάδας;Ευβοίας;123300,00;1504,26;5,45;8198217,00
2006;Στερεάς Ελλάδας;Ευρυτανίας;12924,00;157,67;5,45;859301,50
2006;Στερεάς Ελλάδας;Φθιώτιδας;54457,00;664,38;5,45;3620871,00
2006;Στερεάς Ελλάδας;Φωκίδας;9761,00;119,09;5,45;649040,50
2007;Ανατολικής Μακεδονίας και Θράκης;Δράμας;14236,00;192,19;6,01;1155061,90
2007;Ανατολικής Μακεδονίας και Θράκης;Έβρου;29489,00;398,10;6,01;2392581,00
2007;Ανατολικής Μακεδονίας και Θράκης;Καβάλας;60625,00;818,43;6,01;4918764,30
2007;Ανατολικής Μακεδονίας και Θράκης;Ξάνθης;10440,00;140,94;6,01;847049,40
2007;Ανατολικής Μακεδονίας και Θράκης;Ροδόπης;12654,00;170,83;6,01;1026688,30
2007;Αττικής;Αττικής;27344,00;369,14;6,01;2218531,40
2007;Αττικής;Πειραιά;14552,00;196,46;6,01;1180724,60
2007;Βορείου Αιγαίου;Λέσβου;26363,00;355,90;6,01;2138959,00
2007;Βορείου Αιγαίου;Σάμου;23200,00;313,19;6,01;1882271,90
2007;Βορείου Αιγαίου;Χίου;9148,00;123,50;6,01;742235,00
2007;Δυτικής Ελλάδας;Αιτωλοακαρνανίας;42228,00;570,08;6,01;3426180,80
2007;Δυτικής Ελλάδας;Αχαΐας;29527,00;398,61;6,01;2395646,10
2007;Δυτικής Ελλάδας;Ηλείας;12760,00;172,26;6,01;1035282,60
2007;Δυτικής Μακεδονίας;Γρεβενών;6538,00;88,26;6,01;530442,60
2007;Δυτικής Μακεδονίας;Καστοριάς;3902,00;52,67;6,01;316546,70
2007;Δυτικής Μακεδονίας;Κοζάνης;10713,00;144,62;6,01;869166,20
2007;Δυτικής Μακεδονίας;Φλωρίνης;3591,00;48,47;6,01;291304,70
2007;Ηπείρου;Άρτης;26363,00;355,90;6,01;2138959,00
2007;Ηπείρου;Θεσπρωτίας;5884,00;79,44;6,01;477434,40
2007;Ηπείρου;Ιωαννίνων;18981,00;256,25;6,01;1540062,50
2007;Ηπείρου;Πρεβέζης;7171,00;96,81;6,01;581828,10
2007;Θεσσαλίας;Καρδίτσης;52726,00;711,80;6,01;4277918,00
2007;Θεσσαλίας;Λαρίσης;35854,00;484,03;6,01;2909020,30
2007;Θεσσαλίας;Μαγνησίας;32058,00;432,78;6,01;2601007,80
2007;Θεσσαλίας;Τρικάλων;15798,00;213,27;6,01;1281752,70
2007;Ιόνια Νησιά;Ζακύνθου;6789,00;91,65;6,01;550816,50
2007;Ιόνια Νησιά;Κέρκυρας;8436,00;113,89;6,01;684478,90
2007;Ιόνια Νησιά;Κεφαλληνίας;12654,00;170,83;6,01;1026688,30
2007;Ιόνια Νησιά;Λευκάδος;6405,00;86,47;6,01;519684,70
2007;Κεντρικής Μακεδονίας;Ημαθίας;10123,00;136,67;6,01;821386,70
2007;Κεντρικής Μακεδονίας;Θεσσαλονίκης;20247,00;273,33;6,01;1642713,30
2007;Κεντρικής Μακεδονίας;Κιλκίς;8163,00;110,20;6,01;662302,00
2007;Κεντρικής Μακεδονίας;Πέλλης;8067,00;108,91;6,01;654549,10
2007;Κεντρικής Μακεδονίας;Πιερίας;25309,00;341,67;6,01;2053436,70
2007;Κεντρικής Μακεδονίας;Σερρών;19614,00;264,79;6,01;1591387,90
2007;Κεντρικής Μακεδονίας;Χαλκιδικής;187241,00;2527,76;6,01;15191837,60
2007;Κρήτης;Ηρακλείου;79089,00;1067,70;6,01;6416877,00
2007;Κρήτης;Λασιθίου;28050,00;378,68;6,01;2275866,80
2007;Κρήτης;Ρεθύμνης;17927,00;242,01;6,01;1454480,10
2007;Κρήτης;Χανίων;87525,00;1181,59;6,01;7101355,90
2007;Νοτίου Αιγαίου;Δωδεκανήσου;43025,00;580,83;6,01;3490788,30
2007;Νοτίου Αιγαίου;Κυκλάδων;31249,00;421,86;6,01;2535378,60
2007;Πελοποννήσου;Αργολίδος;50204,00;677,75;6,01;4073277,50
2007;Πελοποννήσου;Αρκαδίας;48086,00;649,16;6,01;3901451,60
2007;Πελοποννήσου;Κορινθίας;29011,00;391,65;6,01;2353816,50
2007;Πελοποννήσου;Λακωνίας;42054,00;567,73;6,01;3412057,30
2007;Πελοποννήσου;Μεσσηνίας;38773,00;523,43;6,01;3145814,30
2007;Στερεάς Ελλάδας;Βοιωτίας;24834,00;335,26;6,01;2014912,60
2007;Στερεάς Ελλάδας;Ευβοίας;126543,00;1708,33;6,01;10267063,30
2007;Στερεάς Ελλάδας;Ευρυτανίας;13264,00;179,06;6,01;1076150,60
2007;Στερεάς Ελλάδας;Φθιώτιδας;55890,00;754,51;6,01;4534605,10
2007;Στερεάς Ελλάδας;Φωκίδας;10018,00;135,24;6,01;812792,40
2008;Ανατολικής Μακεδονίας και Θράκης;Δράμας;14521,00;196,03;6,22;1219306,60
2008;Ανατολικής Μακεδονίας και Θράκης;Έβρου;30078,00;406,06;6,22;2525693,20
2008;Ανατολικής Μακεδονίας και Θράκης;Καβάλας;61837,00;834,80;6,22;5192456,00
2008;Ανατολικής Μακεδονίας και Θράκης;Ξάνθης;10649,00;143,76;6,22;894187,20
2008;Ανατολικής Μακεδονίας και Θράκης;Ροδόπης;12907,00;174,25;6,22;1083835,00
2008;Αττικής;Αττικής;27891,00;376,52;6,22;2341954,40
2008;Αττικής;Πειραιά;14843,00;200,39;6,22;1246425,80
2008;Βορείου Αιγαίου;Λέσβου;26890,00;363,02;6,22;2257984,40
2008;Βορείου Αιγαίου;Σάμου;23664,00;319,46;6,22;1987041,20
2008;Βορείου Αιγαίου;Χίου;9331,00;125,97;6,22;783533,40
2008;Δυτικής Ελλάδας;Αιτωλοακαρνανίας;43073,00;581,48;6,22;3616805,60
2008;Δυτικής Ελλάδας;Αχαΐας;30117,00;406,58;6,22;2528927,60
2008;Δυτικής Ελλάδας;Ηλείας;13015,00;175,70;6,22;1092854,00
2008;Δυτικής Μακεδονίας;Γρεβενών;6669,00;90,03;6,22;559986,60
2008;Δυτικής Μακεδονίας;Καστοριάς;3980,00;53,73;6,22;334200,60
2008;Δυτικής Μακεδονίας;Κοζάνης;10927,00;147,52;6,22;917574,40
2008;Δυτικής Μακεδονίας;Φλωρίνης;3662,00;49,44;6,22;307516,80
2008;Ηπείρου;Άρτης;26890,00;363,02;6,22;2257984,40
2008;Ηπείρου;Θεσπρωτίας;6002,00;81,03;6,22;504006,60
2008;Ηπείρου;Ιωαννίνων;19361,00;261,37;6,22;1625721,40
2008;Ηπείρου;Πρεβέζης;7314,00;98,74;6,22;614162,80
2008;Θεσσαλίας;Καρδίτσης;53781,00;726,04;6,22;4515968,80
2008;Θεσσαλίας;Λαρίσης;36571,00;493,71;6,22;3070876,20
2008;Θεσσαλίας;Μαγνησίας;32699,00;441,43;6,22;2745694,60
2008;Θεσσαλίας;Τρικάλων;16114,00;217,54;6,22;1353098,80
2008;Ιόνια Νησιά;Ζακύνθου;6925,00;93,48;6,22;581445,60
2008;Ιόνια Νησιά;Κέρκυρας;8605,00;116,17;6,22;722577,40
2008;Ιόνια Νησιά;Κεφαλληνίας;12907,00;174,25;6,22;1083835,00
2008;Ιόνια Νησιά;Λευκάδος;6533,00;88,20;6,22;548604,00
2008;Κεντρικής Μακεδονίας;Ημαθίας;10326,00;139,40;6,22;867068,00
2008;Κεντρικής Μακεδονίας;Θεσσαλονίκης;20652,00;278,80;6,22;1734136,00
2008;Κεντρικής Μακεδονίας;Κιλκίς;8326,00;112,41;6,22;699190,20
2008;Κεντρικής Μακεδονίας;Πέλλης;8228,00;111,08;6,22;690917,60
2008;Κεντρικής Μακεδονίας;Πιερίας;25815,00;348,50;6,22;2167670,00
2008;Κεντρικής Μακεδονίας;Σερρών;20006,00;270,09;6,22;1679959,80
2008;Κεντρικής Μακεδονίας;Χαλκιδικής;190986,00;2578,31;6,22;16037088,20
2008;Κρήτης;Ηρακλείου;80671,00;1089,06;6,22;6773953,20
2008;Κρήτης;Λασιθίου;28611,00;386,25;6,22;2402475,00
2008;Κρήτης;Ρεθύμνης;18285,00;246,85;6,22;1535407,00
2008;Κρήτης;Χανίων;89276,00;1205,23;6,22;7496530,60
2008;Νοτίου Αιγαίου;Δωδεκανήσου;43885,00;592,45;6,22;3685039,00
2008;Νοτίου Αιγαίου;Κυκλάδων;31874,00;430,29;6,22;2676403,80
2008;Πελοποννήσου;Αργολίδος;51208,00;691,31;6,22;4299948,20
2008;Πελοποννήσου;Αρκαδίας;49048,00;662,15;6,22;4118573,00
2008;Πελοποννήσου;Κορινθίας;29591,00;399,48;6,22;2484765,60
2008;Πελοποννήσου;Λακωνίας;42895,00;579,09;6,22;3601939,80
2008;Πελοποννήσου;Μεσσηνίας;39548,00;533,90;6,22;3320858,00
2008;Στερεάς Ελλάδας;Βοιωτίας;25331,00;341,96;6,22;2126991,20
2008;Στερεάς Ελλάδας;Ευβοίας;129074,00;1742,49;6,22;10838287,80
2008;Στερεάς Ελλάδας;Ευρυτανίας;13529,00;182,64;6,22;1136020,80
2008;Στερεάς Ελλάδας;Φθιώτιδας;57008,00;769,60;6,22;4786912,00
2008;Στερεάς Ελλάδας;Φωκίδας;10218,00;137,95;6,22;858049,00
2009;Ανατολικής Μακεδονίας και Θράκης;Δράμας;27201,00;369,93;6,44;2382349,20
2009;Ανατολικής Μακεδονίας και Θράκης;Έβρου;26935,00;366,32;6,44;2359100,80
2009;Ανατολικής Μακεδονίας και Θράκης;Καβάλας;43217,00;587,75;6,44;3785110,00
2009;Ανατολικής Μακεδονίας και Θράκης;Ξάνθης;9819,00;133,54;6,44;859997,60
2009;Ανατολικής Μακεδονίας και Θράκης;Ροδόπης;14872,00;202,26;6,44;1302554,40
2009;Αττικής;Αττικής;34706,00;472,00;6,44;3039680,00
2009;Αττικής;Πειραιά;12212,00;166,08;6,44;1069555,20
2009;Βορείου Αιγαίου;Λέσβου;20933,00;284,69;6,44;1833403,60
2009;Βορείου Αιγαίου;Σάμου;9398,00;127,81;6,44;823096,40
2009;Βορείου Αιγαίου;Χίου;8205,00;111,59;6,44;718639,60
2009;Δυτικής Ελλάδας;Αιτωλοακαρνανίας;72186,00;981,73;6,44;6322341,20
2009;Δυτικής Ελλάδας;Αχαΐας;15701,00;213,53;6,44;1375133,20
2009;Δυτικής Ελλάδας;Ηλείας;41913,00;570,02;6,44;3670928,80
2009;Δυτικής Μακεδονίας;Γρεβενών;8135,00;110,64;6,44;712521,60
2009;Δυτικής Μακεδονίας;Καστοριάς;5538,00;75,32;6,44;485060,80
2009;Δυτικής Μακεδονίας;Κοζάνης;14568,00;198,12;6,44;1275892,80
2009;Δυτικής Μακεδονίας;Φλωρίνης;5527,00;75,17;6,44;484094,80
2009;Ηπείρου;Άρτης;30202,00;410,75;6,44;2645230,00
2009;Ηπείρου;Θεσπρωτίας;9551,00;129,89;6,44;836491,60
2009;Ηπείρου;Ιωαννίνων;16886,00;229,65;6,44;1478946,00
2009;Ηπείρου;Πρεβέζης;5320,00;72,35;6,44;465934,00
2009;Θεσσαλίας;Καρδίτσης;35382,00;481,20;6,44;3098928,00
2009;Θεσσαλίας;Λαρίσης;34104,00;463,81;6,44;2986936,40
2009;Θεσσαλίας;Μαγνησίας;36672,00;498,74;6,44;3211885,60
2009;Θεσσαλίας;Τρικάλων;32918,00;447,68;6,44;2883059,20
2009;Ιόνια Νησιά;Ζακύνθου;7282,00;99,04;6,44;637817,60
2009;Ιόνια Νησιά;Κέρκυρας;10190,00;138,58;6,44;892455,20
2009;Ιόνια Νησιά;Κεφαλληνίας;10389,00;141,29;6,44;909907,60
2009;Ιόνια Νησιά;Λευκάδος;6094,00;82,88;6,44;533747,20
2009;Κεντρικής Μακεδονίας;Ημαθίας;18968,00;257,96;6,44;1661262,40
2009;Κεντρικής Μακεδονίας;Θεσσαλονίκης;38217,00;519,75;6,44;3347190,00
2009;Κεντρικής Μακεδονίας;Κιλκίς;12016,00;163,42;6,44;1052424,80
2009;Κεντρικής Μακεδονίας;Πέλλης;13470,00;183,19;6,44;1179743,60
2009;Κεντρικής Μακεδονίας;Πιερίας;15474,00;210,45;6,44;1355298,00
2009;Κεντρικής Μακεδονίας;Σερρών;29653,00;403,28;6,44;2597123,20
2009;Κεντρικής Μακεδονίας;Χαλκιδικής;152385,00;2072,44;6,44;13346513,60
2009;Κρήτης;Ηρακλείου;97660,00;1328,18;6,44;8553479,20
2009;Κρήτης;Λασιθίου;31398,00;427,01;6,44;2749944,40
2009;Κρήτης;Ρεθύμνης;21064,00;286,47;6,44;1844866,80
2009;Κρήτης;Χανίων;62038,00;843,72;6,44;5433556,80
2009;Νοτίου Αιγαίου;Δωδεκανήσου;44369,00;603,42;6,44;3886024,80
2009;Νοτίου Αιγαίου;Κυκλάδων;37484,00;509,78;6,44;3282983,20
2009;Πελοποννήσου;Αργολίδος;48658,00;661,75;6,44;4261670,00
2009;Πελοποννήσου;Αρκαδίας;46843,00;637,07;6,44;4102730,80
2009;Πελοποννήσου;Κορινθίας;35679,00;485,23;6,44;3124881,20
2009;Πελοποννήσου;Λακωνίας;34636,00;471,05;6,44;3033562,00
2009;Πελοποννήσου;Μεσσηνίας;49614,00;674,75;6,44;4345390,00
2009;Στερεάς Ελλάδας;Βοιωτίας;26321,00;357,97;6,44;2305326,80
2009;Στερεάς Ελλάδας;Ευβοίας;55529,00;755,19;6,44;4863423,60
2009;Στερεάς Ελλάδας;Ευρυτανίας;7555,00;102,75;6,44;661710,00
2009;Στερεάς Ελλάδας;Φθιώτιδας;47270,00;642,87;6,44;4140082,80
2009;Στερεάς Ελλάδας;Φωκίδας;27079,00;368,27;6,44;2371658,80
