id,date,fund,category,measure,payment_amount,payments_number
1,04-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,30245.16,7
2,05-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,29950.4,10
3,07-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,10024.16,6
4,08-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,76324.96,18
5,11-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,23126.56,6
6,11-01-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ113 – Επενδύσεις στα αλιευτικά σκάφη και στην επιλεκτικότητα των αλιευτικών εργαλείων,26000,1
7,12-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,5721.6,5
8,12-01-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ221 – Υδατοκαλλιέργεια,208461.4,3
9,13-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,24080.8,7
10,13-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Προϊόντων – Εντός Ένωσης,58730.19,1
11,13-01-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Πρόωρη Συνταξιοδότηση Αλιέων – block account,69984,47
12,13-01-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Πρόωρη Συνταξιοδότηση Αλιέων – ΠΔΕ,102690,71
13,14-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,16377.6,12
14,14-01-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ223 – Επενδύσεις στον τομέα της μεταποίησης και εμπορίας,59913.01,1
15,15-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,45735.93,19
16,15-01-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ113 – Επενδύσεις στα αλιευτικά σκάφη και στην επιλεκτικότητα των αλιευτικών εργαλείων,51421.24,3
17,18-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,54917.63,13
18,18-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Προϊόντων – Τρίτες Χώρες,188191.79,1
19,19-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,10180.58,7
20,19-01-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ113 – Επενδύσεις στα αλιευτικά σκάφη και στην επιλεκτικότητα των αλιευτικών εργαλείων,8393.64,2
21,19-01-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,207241.11,5
22,20-01-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,107639.57,3
23,21-01-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Διεπαγγελματική Βάμβακος 2013,169.45,35
24,21-01-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Πρόσθετη Ενίσχυση για Πιστοποιημένη Ελαιοκαλλιέργεια 2013,11084.47,62
25,21-01-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Πρόσθετη Ενίσχυση για Σκληρό Σιτάρι 2013,16362.22,42
26,21-01-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Στρεμματική Ενίσχυση Βάμβακος 2013,38918.16,36
27,21-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Επιχειρησιακό Πρόγραμμα Φρούτων,15712.7,1
28,21-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,31026.88,3
29,22-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,39589.55,7
30,22-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Προϊόντων – Εντός Ένωσης,123422.28,1
31,22-01-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,50156.07,1
32,25-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,44920.99,12
33,25-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Προϊόντων – Εντός Ένωσης,89255.05,1
34,25-01-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,134005.39,4
35,26-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,21909.61,8
36,26-01-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ113 – Επενδύσεις στα αλιευτικά σκάφη και στην επιλεκτικότητα των αλιευτικών εργαλείων,10640,3
37,27-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,5007.68,5
38,27-01-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ113 – Επενδύσεις στα αλιευτικά σκάφη και στην επιλεκτικότητα των αλιευτικών εργαλείων,22366.92,3
39,27-01-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ223 – Επενδύσεις στον τομέα της μεταποίησης και εμπορίας,586353.58,1
40,27-01-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,114318.44,3
41,28-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,30706.72,16
42,28-01-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,35881.58,1
43,29-01-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,40977.89,7
44,29-01-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ113 – Επενδύσεις στα αλιευτικά σκάφη και στην επιλεκτικότητα των αλιευτικών εργαλείων,21920,4
45,29-01-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,270407.54,9
46,01-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,12825.35,7
47,01-02-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ441 – Αειφόρος ανάπτυξη αλιευτικών περιοχών,52872.26,1
48,01-02-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,125697.65,3
49,02-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,6796,5
50,03-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,27108,9
51,03-02-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ113 – Επενδύσεις στα αλιευτικά σκάφη και στην επιλεκτικότητα των αλιευτικών εργαλείων,8976.08,3
52,03-02-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,83185.1,2
53,04-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,20606.4,4
54,04-02-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,40817.93,1
55,05-02-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Κατ’ αποκοπή Στρεμματική Ενίσχυση Παραγωγών Ελληνικών Νησιών Αιγαίου 2013,23563.28,189
56,05-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,8352,5
57,05-02-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,39572.15,1
58,08-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,15328,6
59,08-02-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ113 – Επενδύσεις στα αλιευτικά σκάφη και στην επιλεκτικότητα των αλιευτικών εργαλείων,3034.48,2
60,09-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,20422.51,16
61,09-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Προϊόντων – Εντός Ένωσης,116866.96,1
62,09-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Προϊόντων – Τρίτες Χώρες,30619.41,1
63,09-02-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ113 – Επενδύσεις στα αλιευτικά σκάφη και στην επιλεκτικότητα των αλιευτικών εργαλείων,6780.88,4
64,09-02-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,7809711.83,1
65,10-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,6848,4
66,10-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Προϊόντων – Τρίτες Χώρες,113836.13,1
67,10-02-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ113 – Επενδύσεις στα αλιευτικά σκάφη και στην επιλεκτικότητα των αλιευτικών εργαλείων,10696.4,5
68,10-02-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ441 – Αειφόρος ανάπτυξη αλιευτικών περιοχών,39307.03,1
69,11-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,14956.8,8
70,11-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Προϊόντων – Τρίτες Χώρες,248595.61,1
71,11-02-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ113 – Επενδύσεις στα αλιευτικά σκάφη και στην επιλεκτικότητα των αλιευτικών εργαλείων,11069.93,2
72,11-02-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ221 – Υδατοκαλλιέργεια,166113.26,1
73,11-02-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ441 – Αειφόρος ανάπτυξη αλιευτικών περιοχών,83378.89,1
74,11-02-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,46866.75,1
75,12-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,35648.07,7
76,12-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Προϊόντων – Τρίτες Χώρες,196775.64,1
77,12-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,ΦΠΑ νησιών Αιγαίου,11687.88,18
78,12-02-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,115765.19,3
79,15-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,35347.2,4
80,15-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Προϊόντων – Τρίτες Χώρες,35685.03,1
81,15-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,ΦΠΑ νησιών Αιγαίου,10590.44,17
82,15-02-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ441 – Αειφόρος ανάπτυξη αλιευτικών περιοχών,100887.53,1
83,15-02-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,39627.81,1
84,16-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,32276.38,11
85,16-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Προϊόντων – Εσωτερική Αγορά,28995.4,1
86,17-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,11740,3
87,17-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,ΦΠΑ νησιών Αιγαίου,11157.24,19
88,18-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,81125.47,7
89,18-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Προϊόντων – Εσωτερική Αγορά,7979.11,1
90,18-02-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,30975.04,1
91,19-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,23642.4,11
92,19-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Προϊόντων – Τρίτες Χώρες,82327.37,1
93,19-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,ΦΠΑ νησιών Αιγαίου,21508.31,19
94,22-02-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Ενιαία Ενίσχυση 2013,158556.62,105
95,22-02-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Πρόσθετη Ενίσχυση για Σκληρό Σιτάρι 2013,24.12,1
96,22-02-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Στρεμματική Ενίσχυση Βάμβακος 2013,28.2,1
97,22-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,8143.3,7
98,22-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Νησιά Αιγαίου (Μελισσοκομία),23894.69,2017
99,22-02-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ113 – Επενδύσεις στα αλιευτικά σκάφη και στην επιλεκτικότητα των αλιευτικών εργαλείων,72196.23,11
100,22-02-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ223 – Επενδύσεις στον τομέα της μεταποίησης και εμπορίας,100278.81,1
101,22-02-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ441 – Αειφόρος ανάπτυξη αλιευτικών περιοχών,1624062.38,3
102,22-02-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,47028.82,1
103,23-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,13400,8
104,23-02-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ113 – Επενδύσεις στα αλιευτικά σκάφη και στην επιλεκτικότητα των αλιευτικών εργαλείων,16224.26,6
105,23-02-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ221 – Υδατοκαλλιέργεια,679059.65,1
106,23-02-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,69424.54,2
107,24-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,78429.17,14
108,24-02-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ113 – Επενδύσεις στα αλιευτικά σκάφη και στην επιλεκτικότητα των αλιευτικών εργαλείων,2747.97,1
109,25-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Επιχειρησιακό Πρόγραμμα Φρούτων,16055.66,1
110,25-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,13311.68,8
111,25-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Προϊόντων – Εντός Ένωσης,16877.81,2
112,25-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Προϊόντων – Εσωτερική Αγορά,44325.71,2
113,25-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,ΦΠΑ νησιών Αιγαίου,36291.27,23
114,25-02-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ113 – Επενδύσεις στα αλιευτικά σκάφη και στην επιλεκτικότητα των αλιευτικών εργαλείων,22851,3
115,25-02-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,83386.27,2
116,26-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,33752.6,11
117,26-02-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,134824.67,4
118,29-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,1712.48,2
119,29-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Νησιά Αιγαίου (Μελισσοκομία),56920.13,135
120,29-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Προϊόντων – Εντός Ένωσης,64428.11,2
121,29-02-2016,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Προϊόντων – Εσωτερική Αγορά,161070.28,2
122,29-02-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ221 – Υδατοκαλλιέργεια,120838.22,1
123,29-02-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ441 – Αειφόρος ανάπτυξη αλιευτικών περιοχών,71204.79,1
124,29-02-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,26789.39,1
125,01-03-2016,ΕΓΤΕ,Μέτρα Αγοράς,Επιχειρησιακό Πρόγραμμα Φρούτων,190590,1
126,01-03-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,9893.12,4
127,01-03-2016,ΕΓΤΕ,Μέτρα Αγοράς,Νησιά Αιγαίου (Μελισσοκομία),21078.47,35
128,01-03-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ223 – Επενδύσεις στον τομέα της μεταποίησης και εμπορίας,121772.98,3
129,02-03-2016,ΕΓΤΕ,Μέτρα Αγοράς,ΦΠΑ νησιών Αιγαίου,14512.47,14
130,02-03-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ113 – Επενδύσεις στα αλιευτικά σκάφη και στην επιλεκτικότητα των αλιευτικών εργαλείων,2120.62,1
131,03-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Πρόσθετη Ενίσχυση Αιγοπροβειου 2013,112690.05,187
132,03-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Πρόσθετη Ενίσχυση Θηλαζουσών Αγελάδων 2013,19131.9,18
133,03-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Πρόσθετη Ενίσχυση Μετακινούμενων Αιγοπροβάτων 2013,10921.92,11
134,03-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Πρόσθετη Ενίσχυση Μοσχίδων Αναπαραγωγής 2013,2048.59,2
135,03-03-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,14425.28,8
136,03-03-2016,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Προϊόντων – Τρίτες Χώρες,486132.93,2
137,03-03-2016,ΕΓΤΕ,Μέτρα Αγοράς,ΦΠΑ νησιών Αιγαίου,29938.64,15
138,03-03-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ334 – Ανάπτυξη νέων αγορών και εκστρατείες προώθησης,142232.72,1
139,03-03-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,103891.32,2
140,04-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Ενίσχυση για την Καλλιέργεια Ανοιξιάτικης Πατάτας 2013,2547.57,14
141,04-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Ενίσχυση για την Καλλιέργεια Εσπεριδοειδών Δωδεκανήσων 2013,500,2
142,04-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Ενίσχυση για την Καλλιέργεια Εσπεριδοειδών Καλύμνου 2013,553.72,1
143,04-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Ενίσχυση για την Καλλιέργεια Εσπεριδοειδών Σάμου 2013,436.1,2
144,04-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Ενίσχυση για την Καλλιέργεια Εσπεριδοειδών Χίου 2013,90,1
145,04-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Ενίσχυση για την Καλλιέργεια Κριθαριού Λήμνου 2013,52.97,3
146,04-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Ενίσχυση για την Καλλιέργεια Μαστίχας Χίου 2013,2531.83,4
147,04-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Ενίσχυση για την Καλλιέργεια Τοματακιού Σαντορίνης 2013,95,1
148,04-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Ενίσχυση για την Καλλιέργεια Φθινοπωρινής Πατάτας 2013,3325.09,16
149,04-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Στρεμματική Ενίσχυση VQPRD 2013,693,2
150,04-03-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,84765.36,19
151,04-03-2016,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Οίνων – Τρίτες Χώρες,1590222.4,2
152,04-03-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ113 – Επενδύσεις στα αλιευτικά σκάφη και στην επιλεκτικότητα των αλιευτικών εργαλείων,14218.53,2
153,04-03-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,81776.13,2
